rx_0,ry_0,vx_0,vy_0,t,r_i,v_i,diff_r,diff_v
0.9,0.5,-0.9,0.9,3495,[0.90273706 0.50151456],[-0.89969326  0.89592785],0.003128160672832692,0.004083685690041089
0.9,1.0,-0.8,0.6,1720,[0.90033751 1.00036452],[-0.79972542  0.59975634],0.0004967802067858908,0.00036709939264860386
0.9,1.2000000000000002,-0.7000000000000001,0.6,1874,[0.89978048 1.1997123 ],[-0.70007754  0.60026685],0.00036188349822004564,0.0002778830205300774
1.0,0.2,-0.20000000000000018,0.9,5670,[0.99775931 0.19955894],[-0.13300133  0.91553405],0.002283684557246757,0.06877592504646282
1.0,0.4,-0.30000000000000016,0.9,4211,[0.99562469 0.39825352],[-0.28084726  0.91215883],0.004711004097705303,0.02268621560713607
1.0,0.5,-0.6000000000000001,0.8,3071,[1.00489927 0.50244746],[-0.59215559  0.79856058],0.005476571766419983,0.007975375917830723
1.0,0.7000000000000001,-0.6000000000000001,0.6,940,[1.00212624 0.70149496],[-0.59420363  0.6018924 ],0.00259919288205707,0.0060974655689384144
1.0,0.8,-0.5000000000000001,0.4,760,[1.0064714  0.80517283],[-0.47090136  0.41815863],0.008284757395010297,0.03429966051879066
1.0,1.2000000000000002,-0.40000000000000013,0.9,2647,[0.99818706 1.19782821],[-0.40104047  0.90125658],0.0028290280513301276,0.001631429161092572
1.0,1.3000000000000003,-0.5000000000000001,0.5,2798,[0.99793668 1.29731794],[-0.49690281  0.506407  ],0.00338389807968674,0.007116338061942828
1.1,0.6,-0.5000000000000001,0.7000000000000001,3060,[1.10384202 0.60210306],[-0.48797941  0.70317195],0.004379952162981917,0.012432044284428559
1.1,0.6,-0.20000000000000018,0.7000000000000001,820,[1.0944743  0.59697942],[-0.18697561  0.7112016 ],0.00629740296446493,0.017178782317447676
1.1,1.1,-0.40000000000000013,0.7000000000000001,3047,[1.096241   1.09623619],[-0.39904542  0.70473047],0.005319428978058429,0.00482581968334128
1.1,1.4000000000000001,-1.0,0.2,5416,[1.10108123 1.40137324],[-0.99940176  0.19931811],0.0017478103762096704,0.0009071170096918058
1.2000000000000002,0.9,-0.1000000000000002,0.8,1393,[1.19245535 0.89433554],[-0.09766627  0.80729185],0.009434403561187637,0.007656202507138006
1.2000000000000002,1.1,-0.5000000000000001,0.4,2449,[1.20406922 1.10372537],[-0.48698343  0.40903952],0.005516967643768475,0.015847518226216224
1.2000000000000002,1.3000000000000003,-0.5000000000000001,0.4,2906,[1.20124791 1.30135395],[-0.4935112   0.40605389],0.0018413174515939082,0.008874348202890396
1.3000000000000003,0.1,-0.1000000000000002,0.8,2022,[1.30117863 0.10009371],[-0.08969338  0.80006105],0.0011823495939192927,0.010306802017363028
1.3000000000000003,0.5,-0.30000000000000016,0.6,1873,[1.30353663 0.50136043],[-0.27370812  0.60817855],0.0037892603135303775,0.027534551465783902
1.4000000000000001,0.4,-0.20000000000000018,0.7000000000000001,6738,[1.39792353 0.39941012],[-0.16787018  0.71031208],0.002158630350732421,0.03374409711461876
1.4000000000000001,0.5,-0.7000000000000001,0.7000000000000001,4556,[1.40567868 0.50202261],[-0.69789204  0.69691625],0.006028126552610896,0.0037353736672102087
1.4000000000000001,0.9,-0.30000000000000016,0.8,2054,[1.39891885 0.89929899],[-0.29997403  0.80078568],0.0012885258852176028,0.0007861041318739246
1.4000000000000001,1.2000000000000002,-0.9,0.5,6986,[1.40069567 1.20058937],[-0.89990664  0.49945293],0.0009117575414830601,0.0005549828247383336
